id,hi_int_prncp_pd,acc_now_delinq,acc_open_past_24mths,addr_state,annual_inc,application_type,avg_cur_bal,bc_util,delinq_2yrs,delinq_amnt,dti,earliest_cr_line,emp_length,emp_title,grade,home_ownership,initial_list_status,int_rate,last_credit_pull_d,loan_amnt,mort_acc,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_30dpd,out_prncp_inv,pub_rec,pub_rec_bankruptcies,purpose,sub_grade,term,tot_coll_amt,tot_cur_bal,total_rec_late_fee,verification_status
3853,0,0,5,IL,165000,Individual,28748,81.1,0,0,16.79,Dec-1987,1 year,Director,A,MORTGAGE,w,7.97,Feb-2019,6000,5,17,0,0,0,3508.79,0,0,other,A5,36 months,0,459965,0,Not Verified
3854,0,0,2,IL,230000,Individual,66560,76.9,0,0,7.58,Sep-2001,10+ years,Director,B,OWN,f,11.49,Feb-2019,3600,4,6,0,0,0,0,0,0,major_purchase,B5,36 months,0,399359,0,Source Verified
3855,0,0,3,CA,175000,Individual,7220,92.4,0,0,22.45,Jul-2003,2 years,Director,B,RENT,w,11.55,Feb-2019,35000,1,17,0,0,0,31679.95,0,0,credit_card,B4,36 months,0,108296,0,Source Verified
3856,0,0,2,CA,74000,Individual,38059,66.6,0,0,10.07,Aug-2000,6 years,Director,B,MORTGAGE,w,10.49,Feb-2019,25000,1,8,0,0,0,10661.83,0,0,debt_consolidation,B2,36 months,0,304472,0,Not Verified
3857,0,0,5,CA,140000,Individual,9748,73,0,0,21.92,May-2005,5 years,Director,D,MORTGAGE,w,17.99,Jan-2019,30000,3,23,0,0,0,0,1,0,debt_consolidation,D2,60 months,0,224211,0,Verified
3858,0,0,4,CA,72000,Individual,3254,76.1,0,0,18.67,Mar-2007,2 years,Director,D,MORTGAGE,w,21.45,Feb-2019,20000,1,11,0,0,0,16541.14,1,1,debt_consolidation,D5,60 months,299,35797,0,Source Verified
3859,0,0,3,CA,65000,Individual,20580,36,0,0,6.51,Jun-1986,10+ years,Director,A,MORTGAGE,w,6.83,Jan-2019,14000,2,12,0,0,0,0,0,0,debt_consolidation,A3,36 months,0,246964,0,Not Verified
3860,0,0,10,CA,104000,Individual,12639,0,0,0,29.19,Apr-2003,3 years,Director,C,RENT,w,13.44,Jan-2019,35000,1,8,0,0,0,0,0,0,debt_consolidation,C3,60 months,0,88472,0,Verified
3861,0,1,1,CA,125000,Individual,81906,38.6,2,0,8.62,Aug-1999,10+ years,Director,C,MORTGAGE,w,12.74,Feb-2019,30000,3,6,1,1,0,0,0,0,debt_consolidation,C1,36 months,0,491438,0,Source Verified
3862,0,0,1,CA,110000,Individual,58834,123.3,0,0,15.38,Jul-1995,7 years,Director,C,MORTGAGE,f,13.99,Feb-2019,10400,1,12,0,0,0,0,2,0,debt_consolidation,C4,36 months,0,706003,0,Source Verified
3863,0,0,1,CA,113500,Individual,9217,94.4,0,0,9.81,Oct-2001,10+ years,Director,C,MORTGAGE,f,13.98,Dec-2016,25000,3,3,0,0,0,0,0,0,credit_card,C1,36 months,0,27651,0,Verified
3864,0,0,8,OH,69000,Individual,9184,79.2,0,0,21.91,Jan-1996,1 year,Director,D,MORTGAGE,w,15.61,Feb-2017,25000,1,19,0,0,0,0,0,0,credit_card,D1,60 months,0,165308,0,Verified
3865,0,0,6,OH,106000,Individual,1743,43.4,0,0,8.62,Jan-2004,5 years,Director,B,RENT,w,10.08,Feb-2019,11000,0,14,0,0,0,9934.83,0,0,debt_consolidation,B1,36 months,0,22656,0,Source Verified
3866,0,0,4,OH,213400,Individual,46526,75.3,0,0,12.31,Feb-1993,5 years,Director,A,MORTGAGE,f,7.97,Feb-2019,32000,1,10,0,0,0,15166.55,2,1,debt_consolidation,A5,36 months,114,465260,0,Not Verified
3867,0,0,4,NY,174000,Individual,30064,89.5,1,0,8.01,Mar-1994,10+ years,Director,C,MORTGAGE,w,15.31,Oct-2018,5000,2,16,0,0,0,0,0,0,debt_consolidation,C5,36 months,0,481031,0,Source Verified
3868,0,0,5,NY,87500,Individual,3299,76.3,0,0,12.74,Feb-1978,< 1 year,Director,B,RENT,w,12.99,Feb-2019,14000,0,17,0,0,0,0,0,0,credit_card,B4,36 months,0,46181,0,Source Verified
3869,0,0,1,NY,95000,Individual,13724,77.3,2,0,13.69,Jul-2004,10+ years,Director,C,MORTGAGE,w,15.99,Sep-2017,15400,1,9,0,0,0,0,1,0,debt_consolidation,C5,60 months,0,123516,0,Not Verified
3870,0,0,1,NY,152844,Individual,36172,41.8,0,0,21.56,Mar-1983,8 years,Director,C,MORTGAGE,f,13.98,Feb-2019,19925,5,17,0,0,0,0,0,0,debt_consolidation,C1,36 months,0,578748,0,Verified
3871,0,0,3,NY,80000,Individual,8487,41.4,1,0,20.7,Apr-1998,10+ years,Director,C,RENT,f,12.74,Feb-2019,15000,0,8,0,0,0,4300.08,0,0,debt_consolidation,C1,36 months,581,67893,0,Not Verified
3872,0,0,4,NY,83000,Individual,5759,98.2,0,0,21.86,May-2007,< 1 year,Director,C,RENT,f,13.49,Feb-2019,10000,0,13,0,0,0,0,0,0,credit_card,C2,36 months,0,69107,0,Source Verified
3873,0,0,1,TX,350000,Individual,34893,58.3,0,0,15.78,Feb-2004,5 years,Director,B,MORTGAGE,w,9.92,Feb-2019,27625,2,15,0,0,0,20753.4,0,0,credit_card,B2,36 months,0,523402,0,Verified
3874,0,0,6,TX,54000,Individual,147,11.5,0,0,3.11,Jun-2007,3 years,Director,B,OWN,w,10.91,Feb-2019,6000,0,7,0,0,0,4369.28,0,0,other,B4,36 months,16884,1031,0,Source Verified
3875,0,0,24,TX,81000,Individual,2902,31.4,0,0,25.28,Jan-2006,5 years,Director,D,OWN,w,18.45,Feb-2019,12000,2,25,0,0,0,11364.92,0,0,other,D2,60 months,165,72545,0,Source Verified
3876,0,0,7,TX,210000,Individual,21238,98.2,0,0,24.86,Jun-1986,10+ years,Director,G,MORTGAGE,w,25.83,Feb-2019,35000,3,23,0,0,0,0,0,0,debt_consolidation,G2,60 months,0,467232,0,Verified
3877,0,0,5,TX,57924,Joint App,26301,101.4,0,0,52.08,Aug-1992,10+ years,Director,C,MORTGAGE,w,16.01,Feb-2019,19200,4,10,0,0,0,17197.85,0,0,other,C5,60 months,0,263013,0,Verified
3878,0,0,9,TN,130000,Individual,17019,86.7,1,0,26.07,Jun-2004,10+ years,Director,B,MORTGAGE,w,9.99,Feb-2019,18000,3,21,0,0,0,0,0,0,credit_card,B3,36 months,0,357400,58.08,Not Verified
3879,0,0,6,PA,110000,Individual,6158,72.7,0,0,17.42,Sep-1996,9 years,Director,D,RENT,w,15.41,Oct-2018,25000,0,21,0,0,0,0,0,0,debt_consolidation,D1,60 months,0,123166,0,Source Verified
3880,0,0,6,GA,105000,Individual,23506,95.2,1,0,26.1,Jun-1989,10+ years,Director,C,MORTGAGE,w,16.02,Jan-2019,22800,3,14,0,0,0,0,0,0,debt_consolidation,C5,60 months,0,329085,0,Verified
3881,0,0,9,GA,91000,Individual,4858,29.7,0,0,28.06,Mar-2004,6 years,Director,B,MORTGAGE,f,9.49,Feb-2019,15400,1,19,0,0,0,0,0,0,credit_card,B2,36 months,0,92305,0,Not Verified
3882,0,0,1,VA,140000,Individual,3805,83.3,1,0,9.68,Jan-1987,9 years,Director,B,RENT,w,12.99,Feb-2019,25000,3,5,0,0,0,0,0,0,debt_consolidation,B5,36 months,0,19023,0,Source Verified
3883,0,0,5,NJ,220000,Individual,37089,74.2,0,0,13.9,May-1991,10+ years,Director,B,OWN,w,11.99,Feb-2019,8000,1,15,0,0,0,5010.23,0,0,debt_consolidation,B5,36 months,0,556337,0,Not Verified
3884,0,0,3,NJ,166000,Individual,7269,92.3,0,0,17.9,Jan-2008,9 years,Director,B,RENT,w,10.9,Feb-2019,32500,0,15,0,0,0,25338.35,0,0,debt_consolidation,B4,36 months,0,94491,0,Source Verified
3885,0,0,3,WI,265000,Individual,52901,61.3,1,0,13.57,Mar-1991,8 years,Director,A,MORTGAGE,w,6.46,Feb-2019,25000,4,16,0,0,0,23734.23,0,0,debt_consolidation,A1,36 months,0,846415,0,Source Verified
3886,0,0,4,MD,115000,Individual,38579,27.8,0,0,8.98,Aug-2001,2 years,Director,B,MORTGAGE,w,11.67,Feb-2019,35000,3,9,0,0,0,0,0,0,debt_consolidation,B4,60 months,0,308631,0,Verified
3887,0,0,3,MD,125000,Individual,69029,87.2,2,0,5.14,Aug-2005,3 years,Director,C,MORTGAGE,w,14.49,Feb-2019,16000,4,10,0,2,0,0,0,0,debt_consolidation,C4,60 months,0,690285,0,Not Verified
3888,0,0,4,AZ,75000,Individual,75060,14,0,0,0.8,Aug-1995,10+ years,Director,B,MORTGAGE,w,10.41,Feb-2019,10000,1,4,0,0,0,7526.36,2,1,house,B3,36 months,0,300241,0,Source Verified
3889,0,0,4,AZ,120000,Individual,7356,32.4,0,0,13.34,Oct-2009,4 years,Director,B,RENT,w,11.99,Feb-2019,25000,0,8,0,0,0,0,0,0,credit_card,B5,36 months,181,58848,0,Source Verified
3890,0,0,10,MA,267000,Individual,7537,83.5,1,0,21.88,Mar-1991,3 years,Director,C,MORTGAGE,w,13.33,Oct-2018,11900,0,25,0,0,0,0,1,0,medical,C3,60 months,0,180897,0,Source Verified
3891,0,0,2,MA,185000,Individual,5756,89.1,1,0,13.69,Apr-1987,5 years,Director,B,RENT,f,10.91,Feb-2019,16000,4,11,0,1,0,7304.65,0,0,debt_consolidation,B4,36 months,1184,63315,0,Source Verified
3892,0,0,14,MS,85000,Individual,5841,54.4,0,0,20.5,Dec-2001,4 years,Director,A,RENT,w,6.83,Feb-2019,2500,0,12,0,0,0,1922.03,0,0,credit_card,A3,36 months,0,70096,0,Not Verified
3893,0,0,1,WA,110000,Individual,9840,90.5,1,0,17.34,Dec-1994,1 year,Director,B,RENT,w,9.99,Oct-2017,25000,1,7,0,0,0,0,0,0,credit_card,B3,60 months,0,68882,0,Not Verified
3894,0,0,2,WA,82000,Individual,5561,101.2,0,0,29.98,May-1993,< 1 year,Director,C,RENT,w,13.44,Jan-2019,20000,0,13,0,0,0,0,0,0,debt_consolidation,C3,36 months,0,66728,0,Verified
3895,0,0,2,SC,125000,Individual,19157,0,1,0,16.82,Apr-2000,5 years,Director,B,MORTGAGE,w,10.42,Feb-2019,10000,2,12,0,0,0,4830.09,0,0,debt_consolidation,B3,36 months,957,210732,0,Not Verified
3896,0,0,2,RI,99779,Individual,6023,83.4,0,0,12.1,Aug-2003,1 year,Director,B,RENT,w,11.39,Feb-2019,4800,1,5,0,0,0,1924.02,0,0,vacation,B3,36 months,0,30114,0,Source Verified
3897,0,0,6,NC,90000,Individual,5162,0,3,0,12.09,Nov-2006,10+ years,Truck driver,D,MORTGAGE,w,21.85,Feb-2019,2200,0,8,0,0,0,0,0,0,home_improvement,D5,36 months,0,41299,0,Source Verified
3898,0,0,6,FL,65000,Individual,6533,25.7,2,0,15.93,Apr-2010,4 years,Truck driver,B,MORTGAGE,w,12.73,Sep-2018,3500,0,9,0,0,0,0,1,1,credit_card,B5,36 months,0,58793,0,Not Verified
3899,0,0,6,FL,68000,Individual,24813,58.5,0,0,7.75,May-2006,3 years,Truck driver,C,MORTGAGE,w,12.99,Jul-2018,11000,2,6,0,0,0,0,0,0,car,C2,36 months,931,148878,0,Not Verified
3900,0,0,2,IL,65000,Individual,17712,75.4,0,0,7.05,May-2003,10+ years,Truck driver,B,MORTGAGE,w,11.47,Jun-2017,20000,2,8,0,0,0,0,0,0,credit_card,B5,36 months,0,123984,0,Not Verified
3901,0,0,4,IL,79000,Individual,2021,37.8,2,0,7.41,Mar-2003,10+ years,Truck driver,B,OWN,f,11.99,Feb-2019,7000,1,8,0,0,0,4755.71,0,0,debt_consolidation,B5,36 months,0,16170,0,Not Verified
3902,0,0,3,CA,85000,Individual,8321,72.3,0,0,8.01,Jun-2001,2 years,Truck driver,C,RENT,w,13.67,Feb-2019,5000,0,4,0,0,0,0,0,0,moving,C3,36 months,0,33282,0,Verified
3903,0,0,4,CA,30000,Individual,5214,85.9,0,0,17.52,Dec-1983,< 1 year,Truck driver,C,RENT,w,13.67,Feb-2017,13800,0,5,0,0,0,0,0,0,debt_consolidation,C3,36 months,0,20857,0,Verified
3904,0,0,4,CA,62000,Individual,4254,102.7,0,0,26.75,Aug-2002,2 years,Truck driver,C,RENT,f,13.33,Mar-2018,15000,0,10,0,0,0,0,0,0,credit_card,C3,36 months,0,42535,0,Source Verified
3905,0,0,1,OH,40000,Individual,1873,81.2,0,0,5.43,Oct-1994,5 years,Truck driver,C,OWN,w,12.99,Feb-2019,10000,0,3,0,0,0,988.84,2,1,debt_consolidation,C2,36 months,0,5619,0,Source Verified
3906,0,0,6,OH,70000,Individual,11747,67.2,0,0,6.81,Mar-1998,< 1 year,Truck driver,B,MORTGAGE,w,9.75,Jul-2018,16000,1,8,0,0,0,0,1,1,debt_consolidation,B3,36 months,0,93973,0,Source Verified
3907,0,0,23,NY,67400,Individual,140,10.4,0,0,6.11,Jun-1999,1 year,Truck driver,C,RENT,w,13.33,Aug-2018,7000,0,30,0,0,0,0,0,0,home_improvement,C3,36 months,473,4209,0,Source Verified
3908,0,0,10,PA,60000,Individual,5508,32.6,0,0,27.06,May-2000,< 1 year,Truck driver,E,RENT,w,20.99,Oct-2016,25200,0,9,0,0,0,0,0,0,debt_consolidation,E5,60 months,0,49574,34.08,Source Verified
3909,0,0,5,UT,50000,Individual,154,1.8,0,0,3.07,Jul-1999,1 year,Truck driver,B,RENT,w,10.91,Feb-2019,1000,2,6,0,0,0,0,1,1,car,B4,36 months,366,772,0,Not Verified
3910,0,0,4,NJ,100000,Individual,57797,95.4,1,0,19.85,Dec-2006,10+ years,Truck driver,C,MORTGAGE,w,15.31,Mar-2017,24000,3,7,0,0,0,0,0,0,credit_card,C5,60 months,54,404576,0,Source Verified
3911,0,0,3,NJ,85000,Individual,8560,30.7,0,0,5.89,Nov-1997,10+ years,Truck driver,A,OWN,w,5.32,Feb-2019,12000,2,13,0,0,0,0,0,0,debt_consolidation,A1,36 months,873,111278,0,Not Verified
3912,0,0,3,AZ,67000,Individual,21907,18.7,0,0,12.84,May-2009,10+ years,Truck driver,B,MORTGAGE,w,9.93,Feb-2019,5000,1,6,0,0,0,3495.07,0,0,other,B2,36 months,0,131443,0,Not Verified
3913,0,0,10,AZ,53000,Individual,3705,60.4,0,0,25.29,Oct-2011,7 years,Truck driver,C,RENT,f,12.99,Feb-2019,6500,0,11,0,0,0,0,0,0,debt_consolidation,C2,36 months,155,40754,0,Not Verified
3914,0,0,6,MA,55000,Individual,2249,45.1,0,0,32.93,Aug-2004,2 years,Truck driver,C,RENT,w,16.02,Feb-2019,18000,0,19,0,0,0,0,0,0,debt_consolidation,C5,60 months,0,42730,0,Verified
3915,0,0,4,WA,60000,Individual,17731,5.3,0,0,19.62,Apr-2004,3 years,Truck driver,A,MORTGAGE,w,6.11,Feb-2019,20000,1,7,0,0,0,17435.99,0,0,debt_consolidation,A1,36 months,0,124117,0,Not Verified
3916,0,0,14,NC,170000,Individual,51726,27.9,1,0,21.04,Aug-1992,10+ years,Owner,B,OWN,w,10.41,Feb-2019,35000,2,14,0,0,0,27242.32,0,0,credit_card,B3,36 months,1185,672433,0,Verified
3917,0,0,4,NC,330000,Individual,32312,27.4,0,0,13.96,Nov-1995,10+ years,Owner,A,MORTGAGE,w,5.32,Feb-2019,34825,3,14,0,0,0,10236.15,0,0,credit_card,A1,36 months,0,452370,0,Verified
3918,0,0,5,NC,40000,Individual,1308,9.5,0,0,32.3,Dec-1996,10+ years,Owner,A,OWN,w,5.32,Aug-2018,14000,0,26,0,0,0,0,0,0,debt_consolidation,A1,36 months,193,34011,0,Source Verified
3919,0,0,2,CT,75000,Individual,22110,20.4,1,0,15.98,Mar-2010,10+ years,Owner,A,MORTGAGE,w,7.39,Feb-2019,12000,2,10,0,0,0,370.34,0,0,debt_consolidation,A4,36 months,0,198990,0,Source Verified
3920,0,0,5,CT,147600,Individual,43698,74.3,0,0,41.4,Nov-1988,5 years,Owner,E,MORTGAGE,w,20.99,Feb-2019,29475,4,13,0,0,0,4253.29,0,0,debt_consolidation,E1,36 months,0,568077,0,Verified
3921,0,0,6,MO,415000,Individual,30087,56.6,0,0,4.99,Apr-1991,10+ years,Owner,A,MORTGAGE,w,7.91,Feb-2019,25000,2,25,0,0,0,10762.11,0,0,debt_consolidation,A5,60 months,0,752175,0,Source Verified
3922,0,0,2,MO,75500,Individual,55537,86.9,2,0,13.77,Oct-1998,10+ years,Owner,E,OWN,w,20.75,Jul-2018,25000,7,6,0,1,0,0,0,0,small_business,E2,36 months,0,277687,0,Verified
3923,0,0,4,MO,150000,Individual,5212,28.8,0,0,5.07,Sep-1991,10+ years,Owner,A,OWN,f,7.21,Oct-2018,17000,2,7,0,0,0,0,0,0,credit_card,A3,36 months,0,36483,0,Not Verified
3924,0,0,9,OK,55000,Individual,22321,74.7,0,0,24.7,Mar-2001,10+ years,Owner,A,MORTGAGE,w,7.89,Dec-2018,7800,4,10,0,0,0,0,0,0,debt_consolidation,A5,36 months,0,200891,0,Not Verified
3925,0,0,2,OK,35000,Joint App,13347,45.2,0,0,15.05,Dec-1970,4 years,Owner,B,MORTGAGE,w,11.49,Feb-2019,10800,2,7,0,0,0,4018.58,0,0,small_business,B5,36 months,0,93430,0,Not Verified
3926,0,0,3,CO,150000,Individual,46472,70.6,1,0,9.86,Apr-1986,10+ years,Owner,B,MORTGAGE,w,8.18,Feb-2019,28000,6,13,0,1,0,0,0,0,debt_consolidation,B1,36 months,0,557664,43.99,Source Verified
3927,0,0,11,CO,50400,Individual,1339,13.4,0,0,10.02,Aug-1994,6 years,Owner,B,MORTGAGE,w,9.43,Feb-2019,5000,3,13,0,0,0,3749.22,1,1,debt_consolidation,B1,36 months,0,17413,0,Not Verified
3928,0,0,3,CO,90000,Individual,4367,49.4,0,0,13.73,Jan-1994,9 years,Owner,B,MORTGAGE,w,11.53,Feb-2019,15600,2,7,0,0,0,0,1,1,debt_consolidation,B5,60 months,0,30568,0,Source Verified
3929,0,0,8,CO,400000,Individual,28993,57,0,0,9.36,Jun-1976,3 years,Owner,C,MORTGAGE,w,13.58,Feb-2019,30000,2,20,0,0,0,0,1,1,debt_consolidation,C2,36 months,0,492878,0,Verified
3930,0,0,6,CO,50000,Individual,5233,67.7,0,0,24.53,Dec-2005,1 year,Owner,B,MORTGAGE,w,11.47,May-2016,10000,1,9,0,0,0,0,0,0,debt_consolidation,B5,36 months,0,47098,0,Source Verified
3931,0,0,2,CO,200000,Individual,31789,70.7,0,0,19.34,Aug-1994,10+ years,Owner,A,MORTGAGE,f,6.03,Feb-2019,25000,6,12,0,0,0,0,0,0,debt_consolidation,A1,36 months,0,381467,0,Source Verified
3932,0,0,4,CO,150000,Joint App,49223,95.8,0,0,28.6,Jul-1998,10+ years,Owner,C,MORTGAGE,w,14.99,Feb-2019,35000,9,15,0,0,0,11337.55,2,0,debt_consolidation,C4,36 months,0,738348,0,Verified
3933,0,0,2,OR,120000,Individual,5323,34.3,0,0,14.72,Jul-2008,4 years,Owner,C,RENT,w,13.99,Feb-2019,12000,0,13,0,0,0,5268.61,1,0,small_business,C3,36 months,0,69203,0,Source Verified
